final_ID,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Month,Return_Month,Early_C,Days_LCtoDD,Cancelled_Pax,Total_Discount_Pax,Days_InitialOrgtoDD,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,FPP_to_School_enrollment,Days_DeptoDD,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,Poverty_Code,School_Type,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeType,SchoolSizeIndicator,Retained
2,7,8,WA,15,A,3,4,1,209,7,3,375,East Coast,30,33,Middle->Middle,0.035685008632117,125,2247,22,7,0.685584013472846,0.239541525374483,0,1980,0.896531869937648,3,B,PUBLIC,6,8,935,G,1,1,174,175,Middle->Middle,L,1
3,7,7,OH,14,T,5,5,0,192,4,4,224,East Coast,65,75,Middle->Middle,0.087638079913524,172,793,37,3,0.486236650766944,0.246876182527485,0,655,0.925198672883157,5,B,PUBLIC,6,8,791,N,1,0,0,0,Middle->Middle,L,1
4,9,9,HI,50,A,6,7,0,172,1,3,380,East Coast,25,33,K->High,0.008791541187715,168,4299,22,1,0.812578111362171,0.112749535182843,0,4610,0.902050827471847,3,0,Private non-Christian,K,12,3745,L,1,0,0,0,Middle->Middle,L,1
6,6,8,OK,23,A,6,7,0,245,2,3,271,East Coast,27,28,PK->Middle,0.027577447344281,230,1803,14,1,0.534473420451928,0.095711787201642,0,1847,0.881257114226344,3,C,PUBLIC,PK,8,945,Z,1,1,250,252,Middle->Middle,L,0
7,8,9,MN,11,A,6,6,1,231,1,2,431,East Coast,19,19,Middle->High,0.035619156505107,245,1371,9,0,0.499985516706508,0.276102610795288,0,1340,0.907637107564303,2,B,PUBLIC,7,12,549,I,1,2,377,266,Middle->High,S-M,1
10,4,6,IA,17,A,6,6,1,267,0,1,401,East Coast,15,19,Middle->Middle,0.049379079289964,233,1574,17,0,0.915466659172367,0.210500046169049,0,1442,0.920695384780674,1,B,PUBLIC,6,8,351,M,1,1,275,261,Middle->Middle,S-M,1
11,7,7,KS,10,A,3,3,1,179,2,4,343,East Coast,66,75,PK->High,0.06538944366365,137,1553,37,1,0.562398100337685,0.157814090012974,0,1525,0.928757810676741,4,0,Private non-Christian,PK,12,999,Z,1,1,165,166,Middle->Middle,L,1
12,6,6,NM,13,A,6,6,0,281,6,3,283,East Coast,16,20,Middle->Middle,0.024829828886111,224,2207,13,1,0.862338741127628,0.222572443586961,0,2279,0.852872138583723,3,C,PUBLIC,6,8,571,F,0,1,258,268,Middle->Middle,M-L,0
13,8,9,CA,15,A,4,4,0,206,8,5,381,Costa Rica,32,33,Middle->Middle,0.03164466677113,148,2732,26,7,0.804139967618196,0.136221200374887,0,2739,0.85113398636305,4,A,PUBLIC,6,8,985,Q,0,1,209,195,Middle->Middle,L,1
14,9,10,MN,22,A,3,4,1,208,2,2,441,East Coast,45,40,K->Middle,0.056507703580109,134,1690,24,3,0.558785356496485,0.241360284209714,0,1706,0.964451539918737,2,B,PUBLIC,K,8,668,M,1,1,171,171,Middle->Middle,M-L,0
16,4,4,CA,5,A,3,3,0,202,1,2,358,CA History,51,48,PK->Elementary,0.073253032592089,167,610,11,1,0.2419760246684,0.104516334771058,1,631,0.921119576566593,2,0,CHD,PK,4,636,Q,0,1,189,196,Elementary->Elementary,M-L,1
