final_ID,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Month,Return_Month,Early_C,Days_LCtoDD,Cancelled_Pax,Total_Discount_Pax,Days_InitialOrgtoDD,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,FPP_to_School_enrollment,Days_DeptoDD,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,Poverty_Code,School_Type,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeType,SchoolSizeIndicator
1,10,10,TN,13,T,4,5,1,236,4,2,385,East Coast,22,27,Middle->High,0.026720306173419,172,843,16,4,0.551762069727048,0.439463334747872,0,755,0.91985399445032,2,C,PUBLIC,6,12,925,N,1,2,337,229,Middle->Middle,L
9,7,8,TX,13,A,6,6,1,279,3,2,388,East Coast,19,20,Middle->Middle,0.08321143619323,233,1853,11,3,0.686667154142018,0.146217997814945,0,1620,0.933882781412459,2,B,PUBLIC,6,8,185,Z,1,1,277,284,Middle->Middle,S
19,8,8,CA,21,A,5,6,1,283,3,1,455,East Coast,4,5,PK->Middle,0.017302419425726,217,2189,2,1,0.49221508736534,0.294637073509271,0,2090,0.800016649759668,1,0,CHD,PK,8,238,P,1,1,222,231,Middle->Middle,S
27,8,9,HI,15,A,4,4,1,211,2,1,404,East Coast,4,5,Middle->Middle,0.007257049523894,172,2922,4,2,0.966273060751324,0.541234470201901,0,3058,0.810012911108079,1,E,PUBLIC,6,8,581,M,0,1,195,194,Middle->High,S-M
39,9,10,IL,8,A,6,6,0,271,0,1,277,East Coast,11,15,Middle->Middle,0.072021436806675,226,1342,8,0,0.617495341992504,0.345463580394129,0,1277,0.943325350316153,1,B,PUBLIC,6,8,194,P,1,2,271,11,Middle->Middle,S
42,6,7,WI,15,T,3,4,0,192,2,4,171,East Coast,36,38,PK->Middle,0.11069913606321,146,832,13,0,0.385599723028614,0.29440197110526,0,845,0.920996695035831,3,0,Catholic,PK,8,261,O,1,1,155,155,Middle->Middle,S
47,9,12,WA,23,A,6,7,1,287,2,1,435,East Coast,6,6,Middle->Middle,0.022020140350355,231,2127,2,2,0.339080748360063,0.625226036676354,0,1874,0.844536648535244,1,C,PUBLIC,7,8,244,L,0,1,268,263,High->High,S
61,7,10,CA,18,A,3,3,0,181,2,2,258,East Coast,9,14,High->High,0.014872954982872,140,1885,3,1,0.281058286129422,0.0,0,1920,0.818555488744146,2,B,PUBLIC,9,9,784,L,1,0,0,0,High->High,M-L
106,6,7,MN,5,A,3,4,1,232,6,6,364,East Coast,52,59,Middle->Middle,0.105707406574357,173,1187,22,4,0.431651568052977,0.104483611215665,0,1171,0.942519841634253,5,B,PUBLIC,6,8,488,M,0,1,198,196,Middle->Middle,S-M
110,9,10,AZ,19,A,6,6,1,295,5,2,456,East Coast,10,12,K->Middle,0.011960289492681,223,2286,6,4,0.660847288123589,0.240419981934403,0,2176,0.855805244501915,2,B,PUBLIC,K,8,775,L,1,1,282,264,Middle->Middle,M-L
121,7,7,CA,14,A,4,4,1,209,1,2,342,East Coast,33,34,Middle->Middle,0.034822434290378,170,1842,12,1,0.441502248579386,0.423869695708314,0,1947,0.903083721923488,2,B,PUBLIC,6,8,854,P,0,1,211,194,Middle->Middle,L
124,10,10,TX,14,A,6,6,1,267,15,2,488,East Coast,61,52,Middle->Middle,0.244355332273753,222,1422,31,11,0.640793102774272,0.301825195810474,0,1471,0.928446110653626,3,B,PUBLIC,7,8,232,M,0,1,262,264,Middle->Middle,S
126,5,5,NH,11,A,5,5,1,256,1,2,327,Science,28,29,Middle->Middle,0.036717246485765,207,2195,12,3,0.458635361219176,0.075268427110521,0,2088,0.882472413661772,2,A,PUBLIC,6,8,697,Q,0,1,231,235,Middle->Middle,M-L
