ID_CRM,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,SchoolSizeIndicator
01000I,0,Other,10,Catholic,1,PK,8,403,I,0,2,05/12/2018,09/19/2018,371,241,Middle,Middle,Middle->Middle,S-M
01001O,0,Other,9,CHD,1,K,12,732,O,0,1,09/05/2018,09/01/2018,150,154,Middle,Middle,Middle->Middle,M-L
01002G,0,Other,5,Catholic,1,K,8,521,G,1,1,09/09/2018,09/05/2018,259,263,Middle,Middle,Middle->Middle,S-M
01011Q,0,Other,9,CHD,1,K,12,437,Q,0,2,05/03/2018,09/04/2018,315,191,Middle,High,Middle->High,S-M
01013I,0,Dallas,1,CHD,1,PK,12,226,I,1,2,04/07/2018,08/08/2018,418,295,Middle,High,Middle->High,S
010140,0,Pacific Northwest,7,CHD,1,0,NA,0,0,1,2,05/18/2018,09/14/2018,387,268,Middle,High,Middle->High,
01018O,0,Northern California,5,Catholic,1,K,8,601,O,0,1,09/15/2018,09/10/2018,224,229,Middle,Middle,Middle->Middle,M-L
01026Q,0,Southern California,5,Catholic,0,PK,8,355,Q,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01028L,0,Other,11,Private non-Christian,0,7,12,569,L,1,0,,,,,Middle,Middle,Middle->Middle,S-M
010310,0,Other,7,CHD,1,0,NA,0,0,1,1,09/01/2018,08/27/2018,217,222,Undefined,Undefined,Undefined->Undefined,
010440,0,Other,7,CHD,0,0,NA,0,0,1,0,,,,,Undefined,Undefined,Undefined->Undefined,
01047K,0,Other,5,CHD,1,PK,12,1353,K,0,1,08/25/2018,08/31/2018,179,173,High,High,High->High,L
01051J,0,Pacific Northwest,5,Private non-Christian,0,K,12,436,J,1,0,,,,,Middle,High,Middle->High,S-M
01052O,0,Northern California,5,Catholic,0,K,8,299,O,0,0,,,,,Middle,Middle,Middle->Middle,S
01053K,0,Southern California,5,Catholic,1,K,8,281,K,1,1,11/01/2018,11/16/2018,172,157,Middle,Middle,Middle->Middle,S
01054O,0,Southern California,5,CHD,1,PK,8,776,O,1,1,09/26/2018,10/04/2018,252,244,Elementary,Elementary,Elementary->Elementary,M-L
01061Q,0,Pacific Northwest,5,Catholic,1,K,8,229,Q,1,1,09/28/2018,09/24/2018,260,264,Middle,Middle,Middle->Middle,S
01065O,0,Northern California,10,CHD,1,K,8,224,O,1,1,11/05/2018,10/22/2018,208,222,Middle,Middle,Middle->Middle,S
01070L,0,Other,9,Catholic,1,7,12,528,L,0,2,05/27/2018,09/27/2018,301,178,High,High,High->High,S-M
01071J,0,Southern California,5,PUBLIC,1,PK,8,0,J,0,2,02/04/2018,09/09/2018,441,224,Middle,Middle,Middle->Middle,
01077M,0,Other,10,CHD,1,K,12,331,M,0,2,02/27/2018,09/12/2018,377,180,Middle,Middle,Middle->Middle,S
01082N,0,Other,7,Catholic,0,9,12,672,N,1,0,,,,,Undefined,Undefined,Undefined->Undefined,M-L
01087I,0,Other,2,Private non-Christian,1,PK,12,404,I,1,1,10/02/2018,09/16/2018,164,180,Middle,Middle,Middle->Middle,S-M
01090O,0,Southern California,5,Private non-Christian,1,K,8,355,O,1,1,09/28/2018,09/20/2018,252,260,Elementary,Elementary,Elementary->Elementary,S-M
01091L,0,Pacific Northwest,9,Catholic,1,K,8,219,L,0,2,04/21/2018,10/22/2018,370,186,Middle,Middle,Middle->Middle,S
01104O,0,Pacific Northwest,8,Catholic,1,9,12,574,O,1,1,09/18/2018,09/20/2018,213,211,High,High,High->High,S-M
01107Q,0,Southern California,5,Private non-Christian,0,K,8,369,Q,0,0,,,,,Undefined,Undefined,Undefined->Undefined,S-M
01116I,0,Other,2,Catholic,1,K,8,265,I,1,1,08/17/2018,08/14/2018,241,244,Middle,Middle,Middle->Middle,S
01119P,0,Other,5,Catholic,1,K,8,625,P,1,1,09/19/2018,09/30/2018,268,257,Middle,Middle,Middle->Middle,M-L
01122M,0,Other,2,CHD,1,K,8,348,M,0,1,10/22/2018,10/15/2018,170,177,Elementary,Middle,Elementary->Middle,S
01123L,0,Houston,11,CHD,1,PK,8,184,L,0,1,09/03/2018,08/16/2018,236,254,Middle,Middle,Middle->Middle,S
01134M,0,Southern California,4,Private non-Christian,1,K,6,309,M,0,1,09/01/2018,08/28/2018,239,243,Middle,Middle,Middle->Middle,S
01143J,0,Southern California,5,CHD,1,PK,8,302,J,0,1,09/02/2018,09/22/2018,197,177,Elementary,Elementary,Elementary->Elementary,S
01146Q,0,Other,10,CHD,1,PK,8,202,Q,1,1,08/31/2018,08/27/2018,247,251,Middle,Middle,Middle->Middle,S
01150M,0,Northern California,5,Catholic,0,PK,8,613,M,0,0,,,,,Middle,Middle,Middle->Middle,M-L
01154G,0,Other,10,Private non-Christian,1,K,12,712,G,0,1,08/19/2018,08/29/2018,198,188,Middle,Middle,Middle->Middle,M-L
01157Q,0,Houston,10,Catholic,1,PK,8,226,Q,1,2,08/30/2018,10/02/2018,197,164,Middle,Middle,Middle->Middle,S
01169Q,0,Other,11,CHD,0,K,8,333,Q,1,0,,,,,Middle,High,Middle->High,S
01170Q,0,Pacific Northwest,5,Catholic,1,6,12,875,Q,0,1,12/09/2018,11/22/2018,191,208,Middle,Middle,Middle->Middle,M-L
01171Q,0,Other,7,Private non-Christian,0,K,12,382,Q,0,0,,,,,Middle,Middle,Middle->Middle,S-M
01172M,0,Dallas,5,CHD,1,PK,12,1045,M,0,1,10/09/2018,10/01/2018,226,234,Middle,Middle,Middle->Middle,L
0117H,0,Other,2,CHD,0,PK,8,387,H,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01181K,0,Southern California,5,CHD,1,PK,12,752,K,1,1,09/12/2018,09/24/2018,249,237,Middle,Middle,Middle->Middle,M-L
01183E,0,Southern California,9,Catholic,1,K,8,204,E,0,2,02/21/2018,09/18/2018,482,273,Middle,Middle,Middle->Middle,S
01184M,0,Other,9,Private non-Christian,1,PK,12,824,M,1,1,08/31/2018,09/16/2018,203,187,Middle,Middle,Middle->Middle,M-L
0118N,0,Houston,11,Catholic,1,PK,8,343,N,0,2,05/01/2018,05/04/2018,315,312,Middle,Middle,Middle->Middle,S-M
01193F,0,Pacific Northwest,5,Catholic,1,PK,8,448,F,1,2,05/14/2018,09/23/2018,348,216,Middle,Middle,Middle->Middle,S-M
0119E,0,Other,2,Private non-Christian,1,PK,8,348,E,0,1,08/22/2018,08/23/2018,254,253,Middle,Middle,Middle->Middle,S-M
011Z,0,Other,5,Private non-Christian,1,PK,12,999,Z,1,1,09/18/2018,09/17/2018,165,166,Middle,Middle,Middle->Middle,L
01200Q,0,Southern California,5,Private non-Christian,1,PK,8,333,Q,0,1,09/11/2018,10/01/2018,196,176,Elementary,Elementary,Elementary->Elementary,S
01211N,0,Other,2,Catholic,1,PK,8,209,N,0,1,05/01/2018,05/06/2018,396,391,Middle,Middle,Middle->Middle,S
01212M,0,Other,11,CHD,1,PK,8,356,M,0,1,08/24/2018,08/21/2018,195,198,Middle,Middle,Middle->Middle,S-M
01215G,0,Other,9,Private non-Christian,1,K,12,787,G,1,1,08/16/2018,08/22/2018,203,197,Middle,Middle,Middle->Middle,M-L
01223A,0,Houston,5,Catholic,1,7,12,854,A,0,1,09/06/2018,09/05/2018,223,224,Middle,Middle,Middle->Middle,M-L
01224P,0,Southern California,5,CHD,1,K,12,876,P,0,1,08/22/2018,09/08/2018,223,206,Middle,Middle,Middle->Middle,L
01230K,0,Other,10,CHD,1,PK,12,755,K,0,1,08/23/2018,08/23/2018,193,193,Middle,Middle,Middle->Middle,M-L
01234P,0,Southern California,5,CHD,1,PK,8,488,P,0,2,05/05/2018,09/13/2018,367,236,Elementary,Elementary,Elementary->Elementary,S-M
0123F,0,Pacific Northwest,9,Catholic,1,PK,8,157,F,1,2,04/18/2018,08/31/2018,367,232,Middle,Middle,Middle->Middle,S
01253C,0,Other,5,Catholic,1,PK,8,617,C,1,1,09/13/2018,09/10/2018,244,247,Middle,Undefined,Middle->Undefined,M-L
01260L,0,Northern California,5,Catholic,0,K,8,263,L,1,0,,,,,Middle,Middle,Middle->Middle,S
01265J,0,Other,5,CHD,1,7,12,656,J,0,1,09/06/2018,09/08/2018,193,191,Middle,Middle,Middle->Middle,M-L
01266Q,0,Other,10,Catholic,1,PK,8,204,Q,0,2,04/25/2018,08/21/2018,386,268,Middle,Middle,Middle->Middle,S
01276Q,0,Southern California,5,CHD,1,5,8,485,Q,0,1,10/11/2018,10/05/2018,208,214,Middle,Middle,Middle->Middle,S-M
01279M,0,Northern California,5,Catholic,0,PK,8,242,M,1,0,,,,,Middle,Middle,Middle->Middle,S
01283I,0,Other,7,Private non-Christian,1,PK,12,872,I,0,1,08/16/2018,08/29/2018,291,278,Middle,Middle,Middle->Middle,L
01289M,0,Southern California,4,CHD,0,PK,6,193,M,1,0,,,,,Middle,Middle,Middle->Middle,S
01292P,0,Other,5,Private non-Christian,1,PK,12,961,P,1,1,09/07/2018,09/11/2018,241,237,Middle,Middle,Middle->Middle,L
01299M,0,Northern California,11,Private non-Christian,1,PK,8,251,M,1,1,09/15/2018,09/08/2018,209,216,Middle,Middle,Middle->Middle,S
01300L,0,Other,5,Catholic,1,PK,7,939,L,1,1,09/04/2018,08/22/2018,182,195,Undefined,Undefined,Undefined->Undefined,L
01302L,0,Northern California,10,Catholic,1,K,8,188,L,0,1,09/11/2018,09/10/2018,259,260,Undefined,Undefined,Undefined->Undefined,S
01316P,0,Southern California,12,Private non-Christian,1,PK,8,97,P,0,1,09/17/2018,10/01/2018,197,183,Elementary,Elementary,Elementary->Elementary,S
01317D,0,Southern California,4,PUBLIC,0,PK,6,0,D,0,0,,,,,Elementary,Elementary,Elementary->Elementary,
01322Z,0,Houston,10,CHD,1,PK,8,134,Z,1,1,09/30/2018,09/27/2018,194,197,Middle,Middle,Middle->Middle,S
01326J,0,Southern California,10,CHD,1,K,8,154,J,1,1,09/06/2018,09/22/2018,218,202,Middle,Middle,Middle->Middle,S
01330,0,Other,6,CHD,0,0,NA,0,0,1,0,,,,,High,High,High->High,
01330N,0,Southern California,4,CHD,1,PK,6,182,N,0,1,09/05/2018,08/19/2018,240,257,Elementary,Elementary,Elementary->Elementary,S
01334N,0,Other,10,Catholic,1,PK,8,203,N,1,1,01/27/2018,01/31/2018,403,399,Middle,Middle,Middle->Middle,S
01336O,0,Northern California,9,Private non-Christian,1,5,8,109,O,0,1,09/07/2018,09/03/2018,199,203,Middle,Middle,Middle->Middle,S
01338I,0,Other,5,Catholic,1,K,8,310,I,0,1,10/03/2018,10/02/2018,240,241,Middle,Middle,Middle->Middle,S
01339M,0,Pacific Northwest,10,CHD,0,PK,12,191,M,1,0,,,,,Undefined,Undefined,Undefined->Undefined,S
01342M,0,Northern California,5,Catholic,0,PK,8,556,M,0,0,,,,,Middle,Middle,Middle->Middle,M-L
01343E,0,Southern California,10,Catholic,1,K,8,201,E,1,2,02/15/2018,09/12/2018,491,282,Middle,Middle,Middle->Middle,S
01350M,0,Other,5,Catholic,0,K,8,506,M,0,0,,,,,Middle,Middle,Middle->Middle,S-M
01357J,0,Southern California,5,Private non-Christian,1,7,12,681,J,1,1,09/14/2018,09/16/2018,236,234,Middle,Middle,Middle->Middle,M-L
01360,0,Other,8,PUBLIC,0,0,NA,0,0,1,0,,,,,High,High,High->High,
01380,0,Other,8,CHD,1,0,NA,0,0,0,1,09/15/2018,09/19/2018,221,217,Middle,High,Middle->High,
01381I,0,Other,5,CHD,1,PK,12,1493,I,0,2,01/29/2018,09/29/2018,411,168,Middle,Middle,Middle->Middle,L
01383O,0,Southern California,4,Private non-Christian,0,PK,6,252,O,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S
01386E,0,Other,4,Private non-Christian,1,PK,5,164,E,0,1,10/09/2018,09/28/2018,166,177,Elementary,Elementary,Elementary->Elementary,S
01387O,0,Southern California,10,CHD,1,K,12,196,O,1,2,05/10/2018,09/04/2018,332,215,Middle,Middle,Middle->Middle,S
01392P,0,Other,4,Private non-Christian,1,PK,6,314,P,1,1,08/30/2018,09/04/2018,268,263,Middle,Middle,Middle->Middle,S
01393J,0,Other,1,Catholic,1,K,8,151,J,1,1,09/04/2018,09/07/2018,257,254,Middle,Middle,Middle->Middle,S
01397O,0,Southern California,5,CHD,1,K,8,534,O,1,1,09/12/2018,09/08/2018,242,246,Middle,Middle,Middle->Middle,S-M
01399F,0,Other,1,PUBLIC,1,6,8,0,F,1,1,04/30/2018,04/23/2018,348,355,Middle,Middle,Middle->Middle,
0139O,0,Northern California,9,CHD,1,PK,8,102,O,0,1,09/04/2018,08/29/2018,238,244,Middle,Middle,Middle->Middle,S
01400,0,Other,7,CHD,1,0,NA,0,0,1,1,09/27/2018,09/27/2018,208,208,Middle,High,Middle->High,
01406P,0,Pacific Northwest,5,Private non-Christian,1,PK,8,337,P,1,1,09/26/2018,10/12/2018,221,205,Middle,Middle,Middle->Middle,S
01411M,0,Houston,5,Private non-Christian,0,6,12,376,M,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01423O,0,Other,10,Catholic,1,PK,8,629,O,0,1,10/10/2018,09/27/2018,220,233,Middle,Middle,Middle->Middle,M-L
01438Q,0,Northern California,5,Private non-Christian,1,6,12,383,Q,0,1,09/30/2018,09/25/2018,155,160,Middle,Middle,Middle->Middle,S-M
01439P,0,Southern California,5,CHD,1,PK,8,226,P,1,2,05/09/2018,09/30/2018,360,216,Middle,Middle,Middle->Middle,S
01443H,0,Pacific Northwest,5,Catholic,1,K,8,532,H,0,1,09/08/2018,09/10/2018,230,228,Middle,Middle,Middle->Middle,S-M
01447O,0,Other,10,Catholic,1,PK,8,289,O,0,1,10/15/2018,10/22/2018,152,145,Middle,Middle,Middle->Middle,S
01449I,0,Other,2,CHD,1,PK,8,183,I,0,2,08/23/2018,08/24/2018,262,261,Middle,Middle,Middle->Middle,S
01455L,0,Southern California,10,Private non-Christian,0,K,8,187,L,0,0,,,,,Middle,Middle,Middle->Middle,S
014560,0,Other,7,PUBLIC,1,0,NA,0,0,0,2,08/28/2018,10/24/2018,186,129,Middle,Middle,Middle->Middle,
01464P,0,Southern California,5,Private non-Christian,1,PK,12,990,P,1,1,08/30/2018,08/30/2018,237,237,Elementary,Elementary,Elementary->Elementary,L
01469O,0,Northern California,5,CHD,1,PK,12,264,O,0,1,09/15/2018,09/04/2018,205,216,Middle,Middle,Middle->Middle,S
01471Q,0,Southern California,4,Private non-Christian,1,PK,6,308,Q,0,1,09/08/2018,09/16/2018,234,226,Elementary,Elementary,Elementary->Elementary,S
01472M,0,Southern California,1,Private non-Christian,1,K,8,81,M,0,1,09/16/2018,09/22/2018,207,201,Middle,Middle,Middle->Middle,S
014730,0,Other,7,CHD,0,0,NA,0,0,0,0,,,,,Middle,Middle,Middle->Middle,
01475F,0,Pacific Northwest,5,CHD,1,PK,12,317,F,1,1,09/17/2018,09/20/2018,202,199,Middle,Middle,Middle->Middle,S-M
