ID_FINANCE,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX
1389,11/08/2018,0,397,1,1,"0,020913435758935","0,017855577091883",1,447,"0,967035782753087",2
3090,01/06/2019,0,563,0,0,0,0,0,579,"0,993127324453424",1
3639,12/29/2018,0,617,0,0,0,0,0,529,"0,973945817054653",1
4249,11/05/2018,0,446,1,1,"0,019031830062446","0,019285349239465",1,381,"0,981972198095321",2
CP1021,10/20/2018,CP,582,15,11,"0,597236981275838","0,035036284101661",1,596,"0,963425740042094",2
CP1055,11/14/2018,CP,72,13,0,"0,120346712276273","0,022029853980109",0,75,"0,90230273314182",11
CP1075,10/04/2018,CP,1638,48,15,"0,699719033721694","0,181884964808257",0,1644,"0,904456096138396",6
CP1090,10/18/2018,CP,389,37,3,"0,533460183997706","0,302073224026844",1,377,"0,960852253856289",2
CP1240,10/15/2018,CP,1581,3,5,"0,618154951516131","0,179159579410445",0,1848,"0,700163346211614",2
CP1329,09/29/2018,CP,2487,17,13,"0,473516572943092","0,29234296690039",0,2518,"0,924351755865582",3
CP1374,01/14/2019,CP,1742,2,3,"0,166893329098334",0,0,1512,"0,96228059073471",1
CP1393,05/23/2018,CP,1224,6,2,"0,55780733847763","0,292476708962454",0,1298,"0,892673974340483",1
CP141,10/11/2018,CP,900,23,9,"0,700088503250278","0,147285772562345",0,877,"0,909621702416494",3
CP1471,10/01/2018,CP,1742,28,1,"0,585012383207355","0,108010362516265",0,1869,"0,883267552598496",4
CP1515,10/13/2018,CP,473,35,5,"0,331269108473197","0,086316089494518",0,544,"0,899840674064063",9
CP1559,11/09/2018,CP,616,32,9,"0,432831629361547","0,229995847864774",0,644,"1,02102167937169",2
CP1643,10/20/2018,CP,1315,37,4,"0,663032099174079","0,254961476478407",0,1334,"0,973063315325412",4
CP1649,12/26/2018,CP,353,8,3,"0,43699250319062","0,186605968816082",1,356,"0,981118796878537",1
CP1728,11/24/2018,CP,1628,3,2,"0,164774169071285","0,062879784766798",0,1921,"0,939355865317458",2
CP1756,11/21/2018,CP,424,16,4,"0,604869940145268","0,043468690013009",1,367,"0,942104126303917",1
CP1776,10/26/2018,CP,1558,36,4,"0,547846992622479","0,335000576078481",0,1481,"0,967450810073484",5
CP1789,10/14/2018,CP,3111,31,2,"0,58774639734753","0,235894255484108",0,2743,"0,890299035029315",7
CP1802,10/26/2018,CP,677,15,2,"0,452892244444331","0,265462051200698",1,591,"1,02169708713809",1
CP1815,10/13/2018,CP,2153,30,2,"0,934323088238826","0,193318049744742",1,2223,"0,903994235013694",2
CP1836,09/24/2018,CP,2175,36,1,"0,623850296451905","0,2745952427456",1,2518,"0,929941313758624",5
CP1894,10/17/2018,CP,1526,39,6,"0,838073241436245","0,114135503802193",0,1735,"0,917345495504754",5
CP1905,10/20/2018,CP,3497,14,2,"0,581721909062027","0,092925218568448",0,3781,"0,902785404931854",3
CP1924,10/23/2018,CP,1569,24,3,"0,781304699771908","0,173346996182394",0,1776,"0,876976881492368",4
CP195,11/19/2018,CP,2211,41,5,"0,557684410785525","0,164613420482743",0,2036,"0,925053701747923",8
CP2003,09/19/2018,CP,2584,27,0,"0,672995404449406","0,076054751738342",0,2870,"0,874414359030747",4
CP2084,11/02/2018,CP,1788,17,4,"0,229771599350823","0,088889167842062",0,1646,"0,886487773566276",8
CP2089,10/18/2018,CP,1646,43,4,"0,779575125668865","0,153374467126135",0,1560,"0,911654472745867",8
CP2114,11/06/2018,CP,1616,10,2,"0,225303999597777",0,0,1601,"0,864887394465694",5
CP2117,10/18/2018,CP,2023,54,8,"0,606934600549572","0,059349423172037",1,2034,"0,87532653934827",14
CP2165,10/11/2018,CP,875,34,3,"0,28625575239421","0,222539207972204",0,793,"0,886715663117708",18
CP225,10/04/2018,CP,3143,50,11,"0,611712774013426","0,174670040782044",1,2795,"0,946657188435813",4
CP2251,10/16/2018,CP,2165,8,4,"0,518273934334364","0,181143011664176",0,2004,"0,775887488273165",4
CP242,09/28/2018,CP,2505,36,1,"0,592224236960405","0,26209453742458",1,2505,"0,894531055221885",5
CP2447,10/29/2018,CP,1503,39,6,"0,800959639298831","0,13069471082206",0,1643,"0,903440688229694",5
CP2450,10/31/2018,CP,518,39,4,"0,660925477982779","0,089989635852092",1,606,"0,935462101568833",4
CP2458,12/29/2018,CP,1923,3,0,"0,570228701808613","0,168003444493224",0,2187,"0,863932878609291",1
CP2487,11/23/2017,CP,2445,9,9,"0,41764119847481","0,082876141126633",0,2581,"0,848977014184084",3
CP2578,11/15/2018,CP,1916,28,7,"0,864408553570198","0,259495812265843",0,2160,"0,987525693516761",2
CP2598,11/17/2017,CP,2562,9,9,"0,399822908913513","0,084527232570809",0,2457,"0,894534226099812",3
CP2620,10/19/2018,CP,667,14,11,"0,579414764287698","0,034824654469473",1,572,"0,884900299911932",2
CP2661,10/04/2018,CP,1788,10,1,"0,655657797010818",0,0,1671,"0,908376017164769",2
CP2719,11/06/2018,CP,734,17,4,"0,607063297385512","0,182650469418765",0,687,"0,960169869193844",2
CP2757,01/26/2019,CP,659,15,0,"0,61693128202839","0,130481071350457",1,759,"0,871346720478939",3
CP2762,11/07/2018,CP,1771,3,2,"0,151838389572922","0,056569334849642",0,1851,"0,91618864371894",2
CP2854,12/09/2018,CP,592,2,0,"0,07313075696059","0,127923787733537",1,570,"0,975662370476223",1
CP2887,10/16/2018,CP,641,11,5,"0,351339300301338","0,218867329708772",0,627,"0,840076585508083",4
CP2919,10/21/2018,CP,1639,43,4,"0,754307000663303","0,165507487481052",0,1693,"0,911323962928413",7
CP3033,09/28/2018,CP,1519,52,13,"0,683734383375388","0,242706894383497",0,1402,"0,875730777316291",6
CP3035,10/12/2018,CP,1971,6,0,"0,565912810509639","0,340148434210789",0,2153,"0,848002599571817",2
CP3050,10/22/2018,CP,2124,19,4,"0,620348985791796","0,436146953828539",0,2145,"0,899115247006674",3
CP3061,10/23/2018,CP,2307,65,2,"0,537904795482716","0,184752008145351",1,2292,"0,89041232115747",11
CP3190,06/05/2018,CP,3062,13,1,"0,68100535546632","0,402707922437268",0,3008,"0,93489795163423",1
CP3229,10/02/2018,CP,1720,41,3,"0,38661433774417","0,249541853613814",0,1696,"0,912390397222438",9
CP3259,05/27/2018,CP,2187,11,0,"0,355809816663146","0,180629063447036",0,2226,"0,877252801073574",4
CP3267,11/05/2018,CP,1201,35,4,"0,614825136778354","0,33091324416817",0,1276,"0,906039286561885",4
CP3268,10/11/2018,CP,2051,71,2,"0,575158222590093","0,191202373823013",1,2286,"0,959832084298133",11
CP3280,10/27/2018,CP,1772,3,5,"0,616085835499611","0,173928372432279",0,1600,"0,688972862519534",2
CP3323,10/26/2018,CP,556,39,4,"0,622722383239289","0,104546245737663",1,587,"0,925185180181671",4
CP3343,10/16/2018,CP,1446,31,4,"0,548067906467754","0,380083105377419",0,1506,"0,952889323633446",5
CP3358,09/21/2018,CP,1973,17,0,"0,447787970618064","0,166645728187391",1,1979,"0,979577315449545",2
CP3367,10/05/2018,CP,1045,15,1,"0,46769332281485","0,175316757214158",1,1242,"0,856515801927336",4
CP3379,10/27/2018,CP,2174,8,4,"0,493344895704494","0,15901222666737",0,2323,"0,772777038226157",4
