ID_SALES,Program_Code,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Date,Return_Date,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,SPR_Product_Type,FPP,Total_Pax,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,FPP_to_School_enrollment,Retained
CC1387A,CC,10,10,CA,24,A,04/07/2019,05/01/2019,05/11/2018,04/10/2018,2,1,04/01/2018,East Coast,26,29,January,K,High,K->High,C,"0,126429354314411",1
CC139A,CC,5,6,CA,18,A,04/30/2019,05/18/2019,03/05/2018,03/06/2018,2,3,03/16/2018,East Coast,21,22,January,PK,Middle,PK->Middle,C,"0,173405156631824",0
CC1600A,CC,7,7,OR,13,A,03/17/2019,03/30/2019,,,0,1,08/03/2018,East Coast,7,7,January,K,Middle,K->Middle,C,"0,108985714542943",1
CC1701A,CC,8,8,CA,24,A,05/08/2019,06/01/2019,02/07/2018,08/18/2018,5,3,02/06/2018,East Coast,26,25,January,PK,Middle,PK->Middle,C,"0,142807017036153",1
CC1773A,CC,7,7,OR,13,A,03/17/2019,03/30/2019,,,0,1,08/03/2018,East Coast,7,7,January,K,Middle,K->Middle,C,"0,108985714542943",1
CC1830A,CC,7,8,CA,30,A,06/23/2019,07/23/2019,02/25/2018,11/10/2018,13,7,02/02/2018,East Coast,50,69,January,Middle,Middle,Middle->Middle,C,"0,246744805358034",0
CC1836A,CC,9,9,CA,33,A,03/07/2019,04/09/2019,02/16/2018,07/31/2018,1,5,02/05/2018,East Coast,53,71,January,PK,Middle,PK->Middle,C,"0,071500079041017",1
CC242A,CC,7,7,CA,28,A,03/09/2019,04/06/2019,02/22/2018,08/23/2018,1,5,02/13/2018,East Coast,55,61,January,PK,Middle,PK->Middle,C,"0,067303566941564",1
CC2531A,CC,9,10,CA,11,A,05/03/2019,05/14/2019,03/13/2018,03/10/2018,2,3,03/18/2018,East Coast,17,24,January,PK,Middle,PK->Middle,C,"0,165712332006676",0
CC2637A,CC,10,10,CA,24,A,04/29/2019,05/23/2019,03/27/2018,07/29/2018,4,2,02/06/2018,East Coast,20,26,January,K,Middle,K->Middle,C,"0,113636130096558",1
CC2893A,CC,8,8,WA,25,A,03/30/2019,04/24/2019,04/20/2018,09/24/2018,2,3,04/29/2018,East Coast,29,35,January,Middle,High,Middle->High,C,"0,053838319398188",1
